"country_name","ccode_cow","ccode_polity","ccode_gw","iso3"
"Afghanistan","700","","","AFG"
"Afganistan","700","","","AFG"
"Albania","339","","","ALB"
"Algeria","615","","","DZA"
"Andorra","232","","","AND"
"Angola","540","","","AGO"
"Antigua and Barbuda","58","","","ATG"
"Antigua & Barbados","58","","","ATG"
"Antigua and Barbados","58","","","ATG"
" Antigua & Barb.","58","","","ATG"
" Antigua & Barbuda","58","","","ATG"
"Antigua","58","","","ATG"
"Antigua & Barbuda","58","","","ATG"
"Argentina","160","","","ARG"
"Armenia","371","","","ARM"
"Australia","900","","","AUS"
"Austria","305","","","AUT"
"Austria-Hungary","300","","","AUT"
"Azerbaijan","373","","","AZE"
"Baden","267","","",""
"Bahamas, The","31","","","BHS"
"Bahamas","31","","","BHS"
"The Bahamas","31","","","BHS"
"Bahrein","692","","","BHR"
"Bahrain","692","","","BHR"
"Bangladesh","771","","","BGD"
"Barbados","53","","","BRB"
"Bavaria","245","","","BAV"
"Belarus","370","","","BLR"
"Byelorussia","370","","","BLR"
"Belgium","211","","","BEL"
"Belize","80","","","BLZ"
"Benin","434","","","GMB"
"Bhutan","760","","","BTN"
"Bolivia","145","","","BOL"
"Bolivia (Plurinational State of)","145","","","BOL"
"Bosnia/Herzogovina","346","","","BIH"
"Bosnia-Herzogovina","346","","","BIH"
"Bosnia-Herzegovina","346","","","BIH"
"Bosnia andHerzegovina","346","","","BIH"
"Bosnia-Herzego","346","","","BIH"
"Bosnia","346","","","BIH"
"Yugoslavia Bosnia","346","","","BIH"
"Bosnia-Herz","346","","","BIH"
"Bosnia & Herzegovina","346","","","BIH"
"Bosnia and Herzegovina","346","","","BIH"
"Bophutatswana","571","","","BWA"
"Botswana","571","","","BWA"
"Bostwana","571","","","BWA"
"Brazil","140","","","BRA"
"Brunei","835","","","BRN"
"Brunei Darussalam","835","","","BRN"
"Bulgaria","355","","","BUL"
"Burkina Faso","439","","","BFA"
"BurkinaFaso","439","","","BFA"
"Burkina Fasso","439","","","BFA"
"Burkina Fasso (Upper Volta)","439","","","BFA"
"Burundi","516","","","BDI"
"Cambodia","811","","","KHM"
"Cambodia (Kampuchea)","811","","","KHM"
"Cameroun","471","","","CMR"
"Cameroon","471","","","CMR"
"Canada","20","","",""
"Cape Verde","402","","","AGO"
"Cape verde","402","","","AGO"
"C. Verde Is.","402","","","AGO"
"Cabo Verde","402","","","AGO"
"Central African Republic","482","","","CAF"
"CentralAfricanRepublic","482","","","CAF"
"Central Africa","482","","","CAF"
"Central African Rep.","482","","","CAF"
"Central Afr. R.","482","","","CAF"
"Cent. Af. Rep.","482","","","CAF"
